Artist,Track,Peak Position,Year,Peak Date
Jo Ann Campbell,(I'm the Girl On) Wolverton Mountain,38,1962,9/22/62
Bent Fabric and his Piano,Alley Cat,7,1962,9/29/62
Frank Ifield,I Remember You,5,1962,10/13/62
The Contours,Do You Love Me[33],3,1962,10/27/62
Bunker Hill,Hide and Go Seek–Part 1,33,1962,10/27/62
Mike Clifford,Close to Cathy,12,1962,11/3/62
Kris Jensen,Torture,20,1962,11/3/62
The Sherrys,Pop Pop Pop-Pie,35,1962,11/17/62
Trade Martin,That Stranger Used to Be My Girl,28,1962,11/17/62
Stan Kenton,Mama Sing a Song,32,1962,11/17/62
Jimmy McGriff,"I Got a Woman, Part 1",20,1962,11/24/62
Marcie Blane,Bobby's Girl,3,1962,12/1/62
Mark Valentino,The Push and Kick,27,1962,12/15/62
The Tornados,Telstar,1,1962,12/22/62
The Routers,Let's Go (Pony),19,1962,12/22/62
Les Cooper and his Soul Rockers,Wiggle Wobble,22,1963,1/12/63
The Exciters,Tell Him,4,1963,1/19/63
The Earls,Remember Then,24,1963,1/26/63
The Pastel Six,Cinnamon Cinder (It's a Very Nice Dance),25,1963,2/2/63
Johnny Thunder,Loop De Loop,4,1963,2/9/63
Ned Miller,From a Jack to a King,6,1963,2/16/63
Joe Harnell and his Orchestra,Fly Me to the Moon–Bossa Nova,14,1963,2/23/63
Vince Guaraldi Trio,Cast Your Fate to the Wind,22,1963,2/23/63
The Cascades,Rhythm of the Rain,3,1963,3/9/63
The Rebels,Wild Weekend,8,1963,3/9/63
Jan Bradley,Mama Didn't Lie,14,1963,3/9/63
Bill Pursell,Our Winter Love,9,1963,3/30/63
Boots Randolph,Yakety Sax,35,1963,4/6/63
The Chantays,Pipeline,4,1963,5/4/63
James Gilreath,Little Band of Gold,21,1963,5/11/63
The Rocky Fellers,Killer Joe,16,1963,5/18/63
The Dartells,Hot Pastrami,11,1963,5/25/63
Ray Barretto,El Watusi,17,1963,6/1/63
Theola Kilgore,The Love of My Man,21,1963,6/1/63
Baby Washington,That's How Heartaches Are Made,40,1963,6/1/63
Bill Anderson,Still,8,1963,6/8/63
Kyu Sakamoto,Sukiyaki,1,1963,6/15/63
Tom Glazer and the Do-Re-Mi Children's Chorus,On Top of Spaghetti,14,1963,7/6/63
Rolf Harris,"Tie Me Kangaroo Down, Sport",3,1963,7/13/63
Big Dee Irwin,Swingin' on a Star,38,1963,7/13/63
Doris Troy,Just One Look,10,1963,7/27/63
The Glencoves,Hootenanny,38,1963,7/27/63
The Classics,Till Then,20,1963,8/3/63
Dave Dudley,Six Days on the Road,32,1963,8/3/63
The Surfaris',Wipe Out[47],2,1963,8/10/63
Jack Nitzsche,The Lonely Surfer,39,1963,8/10/63
Kai Winding,More,8,1963,8/24/63
Randy & the Rainbows,Denise,10,1963,8/24/63
Inez and Charlie Foxx,Mockingbird,7,1963,9/7/63
Diane Ray,Please Don't Talk to the Lifeguard,31,1963,9/21/63
The Jaynetts,Sally Go 'Round the Roses,2,1963,9/28/63
The Ran-Dells,Martian Hop,16,1963,9/28/63
The Raindrops,The Kind of Boy You Can't Forget,17,1963,9/28/63
Little Johnny Taylor,Part Time Love,19,1963,10/5/63
The Pixies Three,Birthday Party,40,1963,10/5/63
The Busters,Bust Out,25,1963,10/12/63
Sunny & the Sunglows,Talk to Me,11,1963,10/26/63
Los Indios Tabajaras,Maria Elena,6,1963,11/16/63
